Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=0.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step  4700/10000 | phase_err_obs=0.019711 | phase_err_truth=19.710792 | obs_ratio=1.000
Step  4750/10000 | phase_err_obs=0.020722 | phase_err_truth=20.722199 | obs_ratio=1.000
Step  4800/10000 | phase_err_obs=0.021076 | phase_err_truth=21.076217 | obs_ratio=1.000
Step  4850/10000 | phase_err_obs=0.020390 | phase_err_truth=20.389544 | obs_ratio=1.000
Step  4900/10000 | phase_err_obs=0.019747 | phase_err_truth=19.746881 | obs_ratio=1.000
Step  4950/10000 | phase_err_obs=0.020618 | phase_err_truth=20.617799 | obs_ratio=1.000
Step  5000/10000 | phase_err_obs=0.020910 | phase_err_truth=20.909895 | obs_ratio=1.000
Step  5050/10000 | phase_err_obs=0.020279 | phase_err_truth=20.278598 | obs_ratio=1.000
Step  5100/10000 | phase_err_obs=0.019802 | phase_err_truth=19.802378 | obs_ratio=1.000
Step  5150/10000 | phase_err_obs=0.020579 | phase_err_truth=20.578786 | obs_ratio=1.000
Step  5200/10000 | phase_err_obs=0.020944 | phase_err_truth=20.944281 | obs_ratio=1.000
Step  5250/10000 | phase_err_obs=0.020237 | phase_err_truth=20.237386 | obs_ratio=1.000
Step  5300/10000 | phase_err_obs=0.020003 | phase_err_truth=20.002507 | obs_ratio=1.000
Step  5350/10000 | phase_err_obs=0.020531 | phase_err_truth=20.531374 | obs_ratio=1.000
Step  5400/10000 | phase_err_obs=0.020722 | phase_err_truth=20.722351 | obs_ratio=1.000
Step  5450/10000 | phase_err_obs=0.020150 | phase_err_truth=20.149722 | obs_ratio=1.000
Step  5500/10000 | phase_err_obs=0.020043 | phase_err_truth=20.043049 | obs_ratio=1.000
Step  5550/10000 | phase_err_obs=0.020590 | phase_err_truth=20.590021 | obs_ratio=1.000
Step  5600/10000 | phase_err_obs=0.020748 | phase_err_truth=20.747581 | obs_ratio=1.000
Step  5650/10000 | phase_err_obs=0.020245 | phase_err_truth=20.245026 | obs_ratio=1.000
Step  5700/10000 | phase_err_obs=0.020100 | phase_err_truth=20.099776 | obs_ratio=1.000
Step  5750/10000 | phase_err_obs=0.020424 | phase_err_truth=20.424381 | obs_ratio=1.000
Step  5800/10000 | phase_err_obs=0.020637 | phase_err_truth=20.636843 | obs_ratio=1.000
Step  5850/10000 | phase_err_obs=0.020286 | phase_err_truth=20.285507 | obs_ratio=1.000
Step  5900/10000 | phase_err_obs=0.019856 | phase_err_truth=19.855734 | obs_ratio=1.000
Step  5950/10000 | phase_err_obs=0.020384 | phase_err_truth=20.383860 | obs_ratio=1.000
Step  6000/10000 | phase_err_obs=0.020481 | phase_err_truth=20.481308 | obs_ratio=1.000
Step  6050/10000 | phase_err_obs=0.020278 | phase_err_truth=20.278480 | obs_ratio=1.000
Step  6100/10000 | phase_err_obs=0.020075 | phase_err_truth=20.075266 | obs_ratio=1.000
Step  6150/10000 | phase_err_obs=0.020466 | phase_err_truth=20.466001 | obs_ratio=1.000
Step  6200/10000 | phase_err_obs=0.020507 | phase_err_truth=20.507084 | obs_ratio=1.000
Step  6250/10000 | phase_err_obs=0.020209 | phase_err_truth=20.208620 | obs_ratio=1.000
Step  6300/10000 | phase_err_obs=0.020106 | phase_err_truth=20.105827 | obs_ratio=1.000
Step  6350/10000 | phase_err_obs=0.020520 | phase_err_truth=20.519617 | obs_ratio=1.000
Step  6400/10000 | phase_err_obs=0.020488 | phase_err_truth=20.487661 | obs_ratio=1.000
Step  6450/10000 | phase_err_obs=0.020248 | phase_err_truth=20.248375 | obs_ratio=1.000
Step  6500/10000 | phase_err_obs=0.020089 | phase_err_truth=20.088644 | obs_ratio=1.000
Step  6550/10000 | phase_err_obs=0.020523 | phase_err_truth=20.523279 | obs_ratio=1.000
Step  6600/10000 | phase_err_obs=0.020431 | phase_err_truth=20.430783 | obs_ratio=1.000
Step  6650/10000 | phase_err_obs=0.020094 | phase_err_truth=20.093959 | obs_ratio=1.000
Step  6700/10000 | phase_err_obs=0.020169 | phase_err_truth=20.168517 | obs_ratio=1.000
Step  6750/10000 | phase_err_obs=0.020544 | phase_err_truth=20.544419 | obs_ratio=1.000
Step  6800/10000 | phase_err_obs=0.020615 | phase_err_truth=20.614750 | obs_ratio=1.000
Step  6850/10000 | phase_err_obs=0.020217 | phase_err_truth=20.217431 | obs_ratio=1.000
Step  6900/10000 | phase_err_obs=0.020053 | phase_err_truth=20.052998 | obs_ratio=1.000
Step  6950/10000 | phase_err_obs=0.020486 | phase_err_truth=20.486101 | obs_ratio=1.000
Step  7000/10000 | phase_err_obs=0.020454 | phase_err_truth=20.454489 | obs_ratio=1.000
Step  7050/10000 | phase_err_obs=0.020178 | phase_err_truth=20.177768 | obs_ratio=1.000
Step  7100/10000 | phase_err_obs=0.020161 | phase_err_truth=20.160596 | obs_ratio=1.000
Step  7150/10000 | phase_err_obs=0.020416 | phase_err_truth=20.415800 | obs_ratio=1.000
Step  7200/10000 | phase_err_obs=0.020500 | phase_err_truth=20.499637 | obs_ratio=1.000
Step  7250/10000 | phase_err_obs=0.020196 | phase_err_truth=20.196044 | obs_ratio=1.000
Step  7300/10000 | phase_err_obs=0.020243 | phase_err_truth=20.242603 | obs_ratio=1.000
Step  7350/10000 | phase_err_obs=0.020310 | phase_err_truth=20.309965 | obs_ratio=1.000
Step  7400/10000 | phase_err_obs=0.020421 | phase_err_truth=20.421434 | obs_ratio=1.000
Step  7450/10000 | phase_err_obs=0.020344 | phase_err_truth=20.344263 | obs_ratio=1.000
Step  7500/10000 | phase_err_obs=0.020254 | phase_err_truth=20.253775 | obs_ratio=1.000
Step  7550/10000 | phase_err_obs=0.020228 | phase_err_truth=20.228267 | obs_ratio=1.000
Step  7600/10000 | phase_err_obs=0.020412 | phase_err_truth=20.411834 | obs_ratio=1.000
Step  7650/10000 | phase_err_obs=0.020232 | phase_err_truth=20.231711 | obs_ratio=1.000
Step  7700/10000 | phase_err_obs=0.020264 | phase_err_truth=20.264193 | obs_ratio=1.000
Step  7750/10000 | phase_err_obs=0.020242 | phase_err_truth=20.242042 | obs_ratio=1.000
Step  7800/10000 | phase_err_obs=0.020354 | phase_err_truth=20.353795 | obs_ratio=1.000
Step  7850/10000 | phase_err_obs=0.020344 | phase_err_truth=20.344341 | obs_ratio=1.000
Step  7900/10000 | phase_err_obs=0.020214 | phase_err_truth=20.213556 | obs_ratio=1.000
Step  7950/10000 | phase_err_obs=0.020319 | phase_err_truth=20.319304 | obs_ratio=1.000
Step  8000/10000 | phase_err_obs=0.020372 | phase_err_truth=20.371616 | obs_ratio=1.000
Step  8050/10000 | phase_err_obs=0.020333 | phase_err_truth=20.332573 | obs_ratio=1.000
Step  8100/10000 | phase_err_obs=0.020144 | phase_err_truth=20.143616 | obs_ratio=1.000
Step  8150/10000 | phase_err_obs=0.020154 | phase_err_truth=20.153517 | obs_ratio=1.000
Step  8200/10000 | phase_err_obs=0.020370 | phase_err_truth=20.369779 | obs_ratio=1.000
Step  8250/10000 | phase_err_obs=0.020328 | phase_err_truth=20.328353 | obs_ratio=1.000
Step  8300/10000 | phase_err_obs=0.020100 | phase_err_truth=20.099543 | obs_ratio=1.000
Step  8350/10000 | phase_err_obs=0.020316 | phase_err_truth=20.316029 | obs_ratio=1.000
Step  8400/10000 | phase_err_obs=0.020299 | phase_err_truth=20.298840 | obs_ratio=1.000
Step  8450/10000 | phase_err_obs=0.020281 | phase_err_truth=20.280844 | obs_ratio=1.000
Step  8500/10000 | phase_err_obs=0.020119 | phase_err_truth=20.118728 | obs_ratio=1.000
Step  8550/10000 | phase_err_obs=0.020327 | phase_err_truth=20.327429 | obs_ratio=1.000
Step  8600/10000 | phase_err_obs=0.020394 | phase_err_truth=20.394296 | obs_ratio=1.000
Step  8650/10000 | phase_err_obs=0.020260 | phase_err_truth=20.259873 | obs_ratio=1.000
Step  8700/10000 | phase_err_obs=0.020152 | phase_err_truth=20.151509 | obs_ratio=1.000
Step  8750/10000 | phase_err_obs=0.020361 | phase_err_truth=20.361285 | obs_ratio=1.000
Step  8800/10000 | phase_err_obs=0.020330 | phase_err_truth=20.330324 | obs_ratio=1.000
Step  8850/10000 | phase_err_obs=0.020315 | phase_err_truth=20.314981 | obs_ratio=1.000
Step  8900/10000 | phase_err_obs=0.020081 | phase_err_truth=20.080843 | obs_ratio=1.000
Step  8950/10000 | phase_err_obs=0.020251 | phase_err_truth=20.250886 | obs_ratio=1.000
Step  9000/10000 | phase_err_obs=0.020311 | phase_err_truth=20.310997 | obs_ratio=1.000
Step  9050/10000 | phase_err_obs=0.020382 | phase_err_truth=20.381566 | obs_ratio=1.000
Step  9100/10000 | phase_err_obs=0.020206 | phase_err_truth=20.206211 | obs_ratio=1.000
Step  9150/10000 | phase_err_obs=0.020192 | phase_err_truth=20.191748 | obs_ratio=1.000
Step  9200/10000 | phase_err_obs=0.020428 | phase_err_truth=20.427920 | obs_ratio=1.000
Step  9250/10000 | phase_err_obs=0.020426 | phase_err_truth=20.426141 | obs_ratio=1.000
Step  9300/10000 | phase_err_obs=0.020143 | phase_err_truth=20.142971 | obs_ratio=1.000
Step  9350/10000 | phase_err_obs=0.020073 | phase_err_truth=20.072994 | obs_ratio=1.000
Step  9400/10000 | phase_err_obs=0.020396 | phase_err_truth=20.395827 | obs_ratio=1.000
Step  9450/10000 | phase_err_obs=0.020358 | phase_err_truth=20.357662 | obs_ratio=1.000
Step  9500/10000 | phase_err_obs=0.020191 | phase_err_truth=20.191066 | obs_ratio=1.000
Step  9550/10000 | phase_err_obs=0.020297 | phase_err_truth=20.296866 | obs_ratio=1.000
Step  9600/10000 | phase_err_obs=0.020481 | phase_err_truth=20.480877 | obs_ratio=1.000
Step  9650/10000 | phase_err_obs=0.020215 | phase_err_truth=20.214838 | obs_ratio=1.000
Step  9700/10000 | phase_err_obs=0.020066 | phase_err_truth=20.066465 | obs_ratio=1.000
Step  9750/10000 | phase_err_obs=0.020229 | phase_err_truth=20.228574 | obs_ratio=1.000
Step  9800/10000 | phase_err_obs=0.020340 | phase_err_truth=20.340436 | obs_ratio=1.000
Step  9850/10000 | phase_err_obs=0.020285 | phase_err_truth=20.284783 | obs_ratio=1.000
Step  9900/10000 | phase_err_obs=0.020204 | phase_err_truth=20.203707 | obs_ratio=1.000
Step  9950/10000 | phase_err_obs=0.020163 | phase_err_truth=20.163228 | obs_ratio=1.000
Step 10000/10000 | phase_err_obs=0.020353 | phase_err_truth=20.353331 | obs_ratio=1.000
Saved DA result to: ./data_lambda_0/phase_da_kdenudge_1d1v_seed0.npz
Final phase-space RMSE to truth: 20.353331
Mean  phase-space RMSE to truth: 20.659048
